id_transaccion,fecha_gasto,concepto,proveedor,monto_usd,metodo_pago,estado_pago
TXN-2026-0376,2026-08-17,Servicio de Internet Fibra Óptica,Beeks Financial Cloud / MQ Hosting,125.15,Transferencia Bancaria,PAGADO
TXN-2026-0423,2026-01-20,Servicios de Nube AWS,ETB / Tigo Telecomunicaciones,977.98,Pse / Débito,Pagado
TXN-2026-0010,2026-05-30,Compra Sensores LoRaWAN AgroTech,OpenAI LLC,-122.73,Tarjeta de Crédito Corporativa,Pendiente
TXN-2026-0074,2026-01-31,Alimento Medicado Mascotas,Transportes del Darién S.A.,747.83,Efectivo,PAGADO
TXN-2026-0355,2026-01-15,Herramientas de Hardware IoT (Raspberry/ESP32),Transportes del Darién S.A.,393.71,Tarjeta de Crédito Corporativa,Aprobado
TXN-2026-0034,2026-05-22,Suscripción OpenAI API,Amazon Web Services LLC,1080.29,Tarjeta de Crédito Corporativa,Pendiente
TXN-2026-0079,2026-03-15,Publicidad Meta Ads (Instagram/FB),PetShop Supply Co.,491.97,Pse / Débito,Pagado
TXN-2026-0442,2026-05-30,Suscripción Canva Pro / Marketing,ETB / Tigo Telecomunicaciones,448.29,Efectivo,PAGADO
TXN-2026-0118,2026-04-27,Alimento Medicado Mascotas,Microsoft Ireland Operations,150.58,Pse / Débito,Pendiente
TXN-2026-0091,2026.04.16,Honorarios Consultoría Quant,Meta Platforms Ireland Ltd,976.52,Transferencia Bancaria,Pagado
TXN-2026-0078,2026-05-20,Suscripción OpenAI API,Beeks Financial Cloud / MQ Hosting,99.62,PayPal,Error Banco
TXN-2026-0262,2026-02-17,COMPRA SENSORES LORAWAN AGROTECH,Meta Platforms Ireland Ltd,809.78,PayPal,pagado
TXN-2026-0127,2026.06.08,Servicios Nube Azure,Beeks Financial Cloud / MQ Hosting,517.46,Efectivo,Error Banco
TXN-2026-0251,2026-01-30,Compra Sensores LoRaWAN AgroTech,Transportes del Darién S.A.,228.21,Tarjeta de Crédito Corporativa,PAGADO
TXN-2026-0318,2026-02-14,Servicio de Internet Fibra Óptica,Distribuidora Estética Mascotas SAS,841.69,Tarjeta de Crédito Corporativa,Aprobado
TXN-2026-0287,2026-02-22,Mantenimiento Servidor Local / Ngrok,Milesight IoT Co.,,Transferencia Bancaria,Pagado
TXN-2026-0077,2026-03-14,Publicidad Meta Ads (Instagram/FB),Microsoft Ireland Operations,1109.83,Pse / Débito,Pendiente
TXN-2026-0105,2026-07-05,Alimento Medicado Mascotas,ETB / Tigo Telecomunicaciones,$951.96,Pse / Débito,Aprobado
TXN-2026-0295,2026-03-09,  Servicio de Internet Fibra Óptica   ,MercadoLibre Colombia,554.41,Efectivo,Pendiente
TXN-2026-0431,2026-02-08,Insumos Peluquería Canina HeisGroomer,Transportes del Darién S.A.,155.22,PayPal,PAGADO
TXN-2026-0083,2026-05-07,4lim3nto m3dic4do m4scot4s,ETB / Tigo Telecomunicaciones,119.35,Tarjeta de Crédito Corporativa,PAGADO
TXN-2026-0001,2026-06-13,Honorarios Consultoría Quant,Beeks Financial Cloud / MQ Hosting,180.35,Pse / Débito,
TXN-2026-0249,2026-04-21,Suscripción Canva Pro / Marketing,MercadoLibre Colombia,176.31,Transferencia Bancaria,Pendiente
TXN-2026-0012,2026-01-30,Mantenimiento Servidor Local / Ngrok,Beeks Financial Cloud / MQ Hosting,418.11,Transferencia Bancaria,CANCELADO
TXN-2026-0372,2026-02-21,Alimento Medicado Mascotas,Beeks Financial Cloud / MQ Hosting,664.54,Efectivo,
