id_transaccion,fecha_gasto,concepto,proveedor,monto_usd,metodo_pago,estado_pago,concepto_clean,proveedor_clean,monto_usd_clean,fecha_gasto_clean,metodo_pago_clean,estado_pago_clean,z_score_robusto,monto_usd_final,anio_mes,cluster_gasto,categoria_gasto_ml,anomalia_iforest,es_anomalia_ml
TXN-2026-0376,2026-08-17,Servicio de Internet Fibra Óptica,Beeks Financial Cloud / MQ Hosting,125.15,Transferencia Bancaria,PAGADO,Servicio De Internet Fibra Óptica,Beeks Financial Cloud / Mq Hosting,125.15,2026-08-17,Transferencia Bancaria,APROBADO,-1.1780574637194172,125.15,2026-08,0,Perfil_1,1,NORMAL
TXN-2026-0423,2026-01-20,Servicios de Nube AWS,ETB / Tigo Telecomunicaciones,977.98,Pse / Débito,Pagado,Servicios De Nube Aws,Etb / Tigo Telecomunicaciones,977.98,2026-01-20,Pse / Débito,APROBADO,0.7338759053599594,977.98,2026-01,1,Perfil_2,1,NORMAL
TXN-2026-0010,2026-05-30,Compra Sensores LoRaWAN AgroTech,OpenAI LLC,-122.73,Tarjeta de Crédito Corporativa,Pendiente,Compra Sensores Lorawan Agrotech,Openai Llc,122.73,2026-05-30,Tarjeta De Crédito Corporativa,PENDIENTE,-1.1834827873515268,122.73,2026-05,0,Perfil_1,1,NORMAL
TXN-2026-0074,2026-01-31,Alimento Medicado Mascotas,Transportes del Darién S.A.,747.83,Efectivo,PAGADO,Alimento Medicado Mascotas,Transportes Del Darién S.A.,747.83,2026-01-31,Efectivo,APROBADO,0.21790969299217394,747.83,2026-01,1,Perfil_2,1,NORMAL
TXN-2026-0355,2026-01-15,Herramientas de Hardware IoT (Raspberry/ESP32),Transportes del Darién S.A.,393.71,Tarjeta de Crédito Corporativa,Aprobado,Herramientas De Hardware Iot (Raspberry/Espe2),Transportes Del Darién S.A.,393.71,2026-01-15,Tarjeta De Crédito Corporativa,APROBADO,-0.5759810527114116,393.71,2026-01,0,Perfil_1,1,NORMAL
TXN-2026-0034,2026-05-22,Suscripción OpenAI API,Amazon Web Services LLC,1080.29,Tarjeta de Crédito Corporativa,Pendiente,Suscripción Openai Api,Amazon Web Services Llc,1080.29,2026-05-22,Tarjeta De Crédito Corporativa,PENDIENTE,0.9632415503191083,1080.29,2026-05,1,Perfil_2,1,NORMAL
TXN-2026-0079,2026-03-15,Publicidad Meta Ads (Instagram/FB),PetShop Supply Co.,491.97,Pse / Débito,Pagado,Publicidad Meta Ads (Instagram/Fb),Petshop Supply Co.,491.97,2026-03-15,Pse / Débito,APROBADO,-0.3556949782936032,491.97,2026-03,0,Perfil_1,1,NORMAL
TXN-2026-0442,2026-05-30,Suscripción Canva Pro / Marketing,ETB / Tigo Telecomunicaciones,448.29,Efectivo,PAGADO,Suscripción Canva Pro / Marketing,Etb / Tigo Telecomunicaciones,448.29,2026-05-30,Efectivo,APROBADO,-0.4536198279839133,448.29,2026-05,0,Perfil_1,1,NORMAL
TXN-2026-0118,2026-04-27,Alimento Medicado Mascotas,Microsoft Ireland Operations,150.58,Pse / Débito,Pendiente,Alimento Medicado Mascotas,Microsoft Ireland Operations,150.58,2026-04-27,Pse / Débito,PENDIENTE,-1.1210467281968761,150.58,2026-04,0,Perfil_1,1,NORMAL
TXN-2026-0091,2026.04.16,Honorarios Consultoría Quant,Meta Platforms Ireland Ltd,976.52,Transferencia Bancaria,Pagado,Honorarios Consultoría Quant,Meta Platforms Ireland Ltd,976.52,2026-04-16,Transferencia Bancaria,APROBADO,0.7306027762265377,976.52,2026-04,1,Perfil_2,1,NORMAL
